Alpha,T1_Re0.300_M0.00_N5.0, , Alpha,T1_Re0.300_M0.00_N9.0, , Alpha,T1_Re0.400_M0.00_N5.0, , Alpha,T1_Re0.400_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N5.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
        -40.5,     0.5199003, ,        -33.25,     0.3320184, ,        -34.75,     0.4425816, ,        -30.75,     0.2877073, ,        -31.25,     0.3975073, ,         -28.5,     0.3596188, , 
       -40.25,     0.5167844, ,           -33,     0.3280487, ,         -34.5,     0.4387399, ,         -30.5,     0.2836434, ,           -31,     0.3939346, ,        -28.25,     0.3566254, , 
          -40,     0.5136429, ,        -32.75,     0.3240064, ,        -33.25,      0.424131, ,        -30.25,     0.2795728, ,        -30.75,     0.3904501, ,           -28,     0.3535912, , 
       -39.75,     0.5104786, ,         -32.5,      0.319861, ,           -33,     0.4215126, ,           -30,     0.2754591, ,         -30.5,     0.3869656, ,        -27.75,     0.3505089, , 
        -39.5,     0.5072936, ,        -32.25,      0.315597, ,        -32.75,     0.4187568, ,        -29.75,     0.2712757, ,        -30.25,     0.3834705, ,         -27.5,     0.3473828, , 
       -39.25,     0.5040866, ,           -32,     0.3112193, ,         -32.5,     0.4149416, ,         -29.5,     0.2671413, ,           -30,     0.3799797, ,        -27.25,       0.34421, , 
          -39,     0.5008571, ,        -31.75,     0.3069933, ,        -32.25,     0.4110425, ,        -29.25,      0.263065, ,        -29.75,     0.3764375, ,           -27,     0.3409879, , 
       -38.75,     0.4976124, ,         -31.5,     0.3032041, ,           -32,     0.4073901, ,           -29,     0.2590655, ,         -29.5,      0.372949, ,        -26.75,     0.3377104, , 
        -38.5,     0.4943279, ,        -31.25,     0.2994482, ,        -31.75,     0.4038575, ,        -28.75,     0.2550668, ,        -29.25,      0.369435, ,         -26.5,     0.3343599, , 
       -38.25,     0.4910457, ,           -31,     0.2957816, ,         -31.5,     0.4003628, ,         -28.5,     0.2510386, ,           -29,     0.3659103, ,        -26.25,     0.3308661, , 
          -38,     0.4865003, ,        -30.75,     0.2922471, ,        -31.25,     0.3968869, ,        -28.25,     0.2469696, ,        -28.75,     0.3623772, ,           -26,     0.3269351, , 
       -37.75,     0.4831863, ,         -30.5,     0.2884621, ,           -31,     0.3934165, ,           -28,     0.2428558, ,         -28.5,     0.3588402, ,        -25.75,     0.3232733, , 
        -37.5,      0.480289, ,        -30.25,      0.284424, ,        -30.75,     0.3899594, ,        -27.75,     0.2386952, ,        -28.25,     0.3554317, ,         -25.5,     0.3196943, , 
       -37.25,     0.4774803, ,           -30,     0.2803028, ,         -30.5,     0.3865162, ,         -27.5,     0.2344858, ,           -28,     0.3526341, ,        -25.25,      0.316046, , 
          -37,     0.4746719, ,        -29.75,      0.276148, ,        -30.25,     0.3830549, ,        -27.25,     0.2302252, ,        -27.75,     0.3493654, ,           -25,     0.3123506, , 
       -36.75,     0.4718318, ,         -29.5,     0.2719605, ,           -30,     0.3795598, ,           -27,     0.2259076, ,         -27.5,     0.3454863, ,        -24.75,     0.3085448, , 
        -36.5,     0.4689483, ,         -28.5,     0.3645556, ,        -29.75,     0.3760503, ,        -26.75,     0.2215271, ,        -27.25,     0.3413074, ,         -24.5,     0.3046771, , 
