Alpha,T1_Re0.300_M0.00_N5.0, , Alpha,T1_Re0.300_M0.00_N9.0, , Alpha,T1_Re0.400_M0.00_N5.0, , Alpha,T1_Re0.400_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N5.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
        -40.5,     -2.447912, ,        -33.25,     -2.011332, ,        -34.75,     -2.688929, ,        -30.75,     -2.175916, ,        -31.25,       -2.8139, ,         -28.5,     -2.922932, , 
       -40.25,     -2.457571, ,           -33,     -2.024229, ,         -34.5,     -2.700956, ,         -30.5,     -2.190734, ,           -31,     -2.823852, ,        -28.25,     -2.929082, , 
          -40,     -2.467291, ,        -32.75,     -2.037656, ,        -33.25,      -2.74209, ,        -30.25,     -2.205728, ,        -30.75,     -2.833373, ,           -28,     -2.935408, , 
       -39.75,     -2.477055, ,         -32.5,     -2.051777, ,           -33,     -2.747334, ,           -30,      -2.22118, ,         -30.5,     -2.843016, ,        -27.75,     -2.941993, , 
        -39.5,     -2.486848, ,        -32.25,     -2.066713, ,        -32.75,     -2.753095, ,        -29.75,     -2.237347, ,        -30.25,     -2.852695, ,         -27.5,     -2.948829, , 
       -39.25,     -2.496677, ,           -32,     -2.082459, ,         -32.5,     -2.762721, ,         -29.5,     -2.253686, ,           -30,     -2.862162, ,        -27.25,     -2.955961, , 
          -39,     -2.506547, ,        -31.75,     -2.097841, ,        -32.25,     -2.773752, ,        -29.25,     -2.270269, ,        -29.75,     -2.872179, ,           -27,     -2.963431, , 
       -38.75,     -2.516424, ,         -31.5,     -2.112268, ,           -32,     -2.783996, ,           -29,      -2.28712, ,         -29.5,     -2.882033, ,        -26.75,       -2.9713, , 
        -38.5,     -2.526428, ,        -31.25,     -2.127043, ,        -31.75,     -2.793785, ,        -28.75,     -2.304552, ,        -29.25,     -2.892326, ,         -26.5,     -2.979695, , 
       -38.25,      -2.53636, ,           -31,     -2.141936, ,         -31.5,     -2.803506, ,         -28.5,     -2.322684, ,           -29,      -2.90282, ,        -26.25,     -2.988974, , 
          -38,     -2.554705, ,        -30.75,     -2.157008, ,        -31.25,     -2.813213, ,        -28.25,     -2.341585, ,        -28.75,     -2.913479, ,           -26,     -2.999726, , 
       -37.75,     -2.566749, ,         -30.5,     -2.173116, ,           -31,     -2.822955, ,           -28,     -2.361319, ,         -28.5,     -2.924343, ,        -25.75,     -3.009759, , 
        -37.5,      -2.57597, ,        -30.25,     -2.190089, ,        -30.75,     -2.832424, ,        -27.75,     -2.381959, ,        -28.25,     -2.934612, ,         -25.5,     -3.020829, , 
       -37.25,     -2.584341, ,           -30,     -2.207595, ,         -30.5,     -2.841829, ,         -27.5,     -2.403601, ,           -28,     -2.941899, ,        -25.25,     -3.033534, , 
