Alpha,, , Alpha,, , Alpha,, , Alpha,, , Alpha,, , Alpha,, , 
        -40.5,      -1.27267, ,        -33.25,    -0.6677991, ,        -34.75,     -1.190071, ,        -30.75,     -0.626027, ,        -31.25,     -1.118546, ,         -28.5,     -1.051141, , 
       -40.25,     -1.270034, ,           -33,    -0.6640456, ,         -34.5,     -1.185017, ,         -30.5,    -0.6213873, ,           -31,     -1.112413, ,        -28.25,     -1.044585, , 
          -40,     -1.267306, ,        -32.75,    -0.6602138, ,        -33.25,     -1.163005, ,        -30.25,    -0.6166615, ,        -30.75,     -1.106291, ,           -28,     -1.037934, , 
       -39.75,     -1.264484, ,         -32.5,    -0.6562835, ,           -33,     -1.158036, ,           -30,    -0.6118444, ,         -30.5,     -1.100149, ,        -27.75,     -1.031195, , 
        -39.5,     -1.261562, ,        -32.25,    -0.6522483, ,        -32.75,     -1.152877, ,        -29.75,    -0.6069378, ,        -30.25,     -1.093924, ,         -27.5,     -1.024373, , 
       -39.25,     -1.258542, ,           -32,    -0.6481016, ,         -32.5,     -1.146368, ,         -29.5,    -0.6020525, ,           -30,     -1.087564, ,        -27.25,     -1.017471, , 
          -39,     -1.255422, ,        -31.75,    -0.6440232, ,        -32.25,      -1.14013, ,        -29.25,    -0.5972284, ,        -29.75,     -1.081196, ,           -27,     -1.010494, , 
       -38.75,     -1.252203, ,         -31.5,    -0.6404482, ,           -32,     -1.134172, ,           -29,    -0.5925139, ,         -29.5,     -1.074851, ,        -26.75,     -1.003439, , 
        -38.5,     -1.248884, ,        -31.25,    -0.6369393, ,        -31.75,     -1.128291, ,        -28.75,    -0.5878148, ,        -29.25,     -1.068527, ,         -26.5,    -0.9962904, , 
       -38.25,     -1.245469, ,           -31,    -0.6335453, ,         -31.5,      -1.12242, ,         -28.5,    -0.5830834, ,           -29,     -1.062172, ,        -26.25,    -0.9889503, , 
          -38,     -1.242865, ,        -30.75,    -0.6303792, ,        -31.25,     -1.116527, ,        -28.25,    -0.5783004, ,        -28.75,     -1.055778, ,           -26,    -0.9807158, , 
       -37.75,     -1.240218, ,         -30.5,    -0.6268617, ,           -31,     -1.110597, ,           -28,    -0.5734598, ,         -28.5,     -1.049372, ,        -25.75,    -0.9729748, , 
        -37.5,      -1.23721, ,        -30.25,     -0.622914, ,        -30.75,      -1.10453, ,        -27.75,    -0.5685622, ,        -28.25,     -1.043054, ,         -25.5,    -0.9657418, , 
       -37.25,     -1.233972, ,           -30,    -0.6187952, ,         -30.5,     -1.098413, ,         -27.5,    -0.5636102, ,           -28,     -1.037414, ,        -25.25,    -0.9587361, , 
          -37,     -1.230541, ,        -29.75,    -0.6145942, ,        -30.25,     -1.092302, ,        -27.25,    -0.5586102, ,        -27.75,     -1.031082, ,           -25,    -0.9516254, , 
       -36.75,     -1.226938, ,         -29.5,    -0.6103215, ,           -30,     -1.086181, ,           -27,    -0.5534571, ,         -27.5,     -1.024369, ,        -24.75,    -0.9445407, , 
        -36.5,     -1.223178, ,         -28.5,     -1.047769, ,        -29.75,     -1.080023, ,        -26.75,     -0.547998, ,        -27.25,     -1.017608, ,         -24.5,    -0.9375557, , 
       -36.25,     -1.219272, ,        -28.25,     -1.041299, ,         -29.5,     -1.073791, ,         -26.5,    -0.5424366, ,           -27,     -1.010854, ,        -24.25,    -0.9331044, , 
          -36,     -1.215229, ,           -28,     -1.034788, ,        -29.25,     -1.067499, ,        -26.25,    -0.5368135, ,        -26.75,     -1.004074, ,           -24,    -0.9250944, , 
       -35.75,     -1.211054, ,         -27.5,     -1.022032, ,           -29,     -1.061152, ,           -26,    -0.5256395, ,         -26.5,    -0.9972085, ,        -23.75,    -0.9171292, , 
        -35.5,     -1.206753, ,        -27.25,      -1.01522, ,        -28.75,     -1.054756, ,        -25.75,    -0.5181194, ,        -26.25,    -0.9902493, ,         -23.5,     -0.909185, , 
       -35.25,     -1.202328, ,           -27,     -1.008345, ,         -28.5,     -1.048327, ,         -25.5,    -0.5111211, ,           -26,    -0.9832031, ,        -23.25,    -0.9012528, , 
          -35,     -1.197778, ,        -26.75,     -1.001382, ,        -28.25,       -1.0419, ,        -25.25,    -0.5043305, ,        -25.75,    -0.9760914, ,           -23,    -0.8933317, , 
       -34.75,     -1.193083, ,         -26.5,    -0.9943289, ,           -28,     -1.035621, ,           -25,    -0.4976418, ,         -25.5,    -0.9689424, ,        -22.75,    -0.8854199, , 
        -34.5,     -1.188137, ,        -26.25,    -0.9871876, ,        -27.75,     -1.029653, ,        -24.75,    -0.4910647, ,        -25.25,    -0.9618008, ,         -22.5,    -0.8775135, , 
       -34.25,     -1.182706, ,           -26,    -0.9799674, ,         -27.5,     -1.023177, ,         -24.5,    -0.4863794, ,           -25,    -0.9547383, ,        -22.25,    -0.8696058, , 
          -34,     -1.177134, ,        -25.75,    -0.9726761, ,        -27.25,     -1.016454, ,        -24.25,    -0.4825028, ,        -24.75,    -0.9478158, ,           -22,    -0.8616164, , 
       -33.75,       -1.1715, ,         -25.5,    -0.9653165, ,           -27,     -1.009623, ,           -24,    -0.4777182, ,         -24.5,    -0.9409913, ,        -21.75,    -0.8535729, , 
        -33.5,     -1.165774, ,        -25.25,    -0.9578594, ,        -26.75,     -1.002728, ,        -23.75,    -0.4725936, ,        -24.25,    -0.9339443, ,         -21.5,    -0.8466267, , 
       -33.25,     -1.159987, ,           -25,    -0.9497011, ,         -26.5,    -0.9957891, ,         -23.5,    -0.4669364, ,           -24,    -0.9268164, ,        -21.25,      -0.83908, , 
          -33,     -1.154265, ,        -24.75,    -0.9428422, ,        -26.25,     -0.988815, ,        -23.25,    -0.4609377, ,        -23.75,    -0.9196811, ,           -21,    -0.8314487, , 
       -32.75,     -1.148651, ,         -24.5,    -0.9369361, ,           -26,    -0.9818117, ,           -23,    -0.4545697, ,         -23.5,    -0.9133527, ,        -20.75,    -0.8239194, , 
        -32.5,     -1.143085, ,        -24.25,    -0.9302505, ,        -25.75,    -0.9748004, ,        -22.75,    -0.8849413, ,        -23.25,    -0.9066711, ,         -20.5,    -0.8165765, , 
       -32.25,     -1.137522, ,           -24,    -0.9232166, ,         -25.5,    -0.9679148, ,         -22.5,    -0.8775606, ,           -23,    -0.8987962, ,        -20.25,    -0.8095482, , 
          -32,     -1.131936, ,        -23.75,    -0.9161008, ,        -25.25,    -0.9621728, ,        -22.25,    -0.8701454, ,        -22.75,    -0.8904651, ,           -20,    -0.8027623, , 
       -31.75,     -1.126301, ,         -23.5,    -0.9086281, ,           -25,    -0.9546929, ,           -22,    -0.8626877, ,         -22.5,    -0.8825625, ,        -19.75,    -0.7961398, , 
        -31.5,     -1.120582, ,        -23.25,    -0.9000046, ,        -24.75,    -0.9470053, ,        -21.75,    -0.8551909, ,        -22.25,    -0.8794279, ,         -19.5,    -0.7897204, , 
       -31.25,     -1.114815, ,           -23,    -0.8916045, ,         -24.5,    -0.9393283, ,         -21.5,    -0.8476483, ,           -22,    -0.8728892, ,        -19.25,    -0.7835612, , 
          -31,     -1.110074, ,        -22.75,    -0.8833642, ,        -24.25,     -0.931696, ,        -21.25,    -0.8401304, ,        -21.75,    -0.8669423, ,           -19,    -0.3367525, , 
       -30.75,      -1.10474, ,         -22.5,     -0.875244, ,           -24,    -0.9241246, ,           -21,    -0.8349564, ,         -21.5,    -0.8608588, ,        -18.75,    -0.3302159, , 
        -30.5,     -1.099069, ,        -22.25,    -0.8672223, ,        -23.75,    -0.9166123, ,        -20.75,    -0.8260198, ,        -21.25,    -0.8539409, ,         -18.5,    -0.3233448, , 
